date_in,Female,Adult,distemper,mange,rabies,venereal_cancer,Pregnant,time_trend,Female_c,Adult_c,time_trend_c,seasonal_trend,Year
9/8/2013,1,0,0,0,0,0,1,2,0.494172269,-0.632925473,-20.74016162,8,2013
10/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
10/8/2013,0,0,0,0,0,0,0,2,-0.505827731,-0.632925473,-20.74016162,8,2013
10/8/2013,1,0,0,0,0,0,0,2,0.494172269,-0.632925473,-20.74016162,8,2013
10/8/2013,1,1,0,0,0,0,0,2,0.494172269,0.367074527,-20.74016162,8,2013
10/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
10/8/2013,1,1,0,0,0,0,0,2,0.494172269,0.367074527,-20.74016162,8,2013
11/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
11/8/2013,1,1,0,0,0,0,1,2,0.494172269,0.367074527,-20.74016162,8,2013
11/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
11/8/2013,1,0,0,0,0,0,0,2,0.494172269,-0.632925473,-20.74016162,8,2013
11/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
11/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
11/8/2013,1,1,0,0,0,0,0,2,0.494172269,0.367074527,-20.74016162,8,2013
13/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
13/8/2013,1,1,0,0,0,0,0,2,0.494172269,0.367074527,-20.74016162,8,2013
13/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
18/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
18/8/2013,1,1,0,0,0,0,1,2,0.494172269,0.367074527,-20.74016162,8,2013
18/8/2013,1,1,0,0,0,0,1,2,0.494172269,0.367074527,-20.74016162,8,2013
18/8/2013,1,0,0,0,0,0,0,2,0.494172269,-0.632925473,-20.74016162,8,2013
18/8/2013,1,1,0,0,0,1,0,2,0.494172269,0.367074527,-20.74016162,8,2013
18/8/2013,1,1,0,0,0,0,0,2,0.494172269,0.367074527,-20.74016162,8,2013
18/8/2013,0,0,0,0,0,0,0,2,-0.505827731,-0.632925473,-20.74016162,8,2013
18/8/2013,1,0,0,0,0,0,0,2,0.494172269,-0.632925473,-20.74016162,8,2013
18/8/2013,1,1,0,0,0,0,0,2,0.494172269,0.367074527,-20.74016162,8,2013
18/8/2013,0,1,0,0,0,0,0,2,-0.505827731,0.367074527,-20.74016162,8,2013
19/8/2013,0,0,0,0,0,0,0,2,-0.505827731,-0.632925473,-20.74016162,8,2013
