date_in,Female,Adult,distemper,mange,rabies,venereal_cancer,Pregnant,time_trend,Female_c,Adult_c,time_trend_c,seasonal_trend,Year
27/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
27/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
27/9/2013,1,0,0,0,0,0,0,3,0,-0.613825414,-19.81537432,9,2013
27/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
27/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
27/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,1,0,0,0,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
28/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,1,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,1,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
30/9/2013,1,1,0,0,0,0,0,3,0,0.386174586,-19.81537432,9,2013
1/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,0,0,0,0,0,0,4,0,-0.613825414,-18.81537432,10,2013
1/10/2013,1,1,0,1,0,0,1,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,1,0,0,0,0,1,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
1/10/2013,1,0,0,0,0,0,0,4,0,-0.613825414,-18.81537432,10,2013
1/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
2/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
2/10/2013,1,0,0,0,0,0,0,4,0,-0.613825414,-18.81537432,10,2013
2/10/2013,1,1,0,0,0,0,1,4,0,0.386174586,-18.81537432,10,2013
2/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
2/10/2013,1,1,0,0,0,0,1,4,0,0.386174586,-18.81537432,10,2013
2/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
3/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
3/10/2013,1,0,0,0,0,0,0,4,0,-0.613825414,-18.81537432,10,2013
3/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
3/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
3/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
4/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
4/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
5/10/2013,1,1,0,0,0,0,0,4,0,0.386174586,-18.81537432,10,2013
